symbol,fundingTime,fundingRate
SUSHIUSDT,1694390400000,-7.35e-05
SUSHIUSDT,1694419200000,-8.421e-05
SUSHIUSDT,1694448000001,2.745e-05
BTSUSDT,1694390400000,0.0001
BTSUSDT,1694419200000,0.0001
BTSUSDT,1694448000001,0.0001
INJUSDT,1694390400000,-5.624e-05
INJUSDT,1694419200000,-6.408e-05
INJUSDT,1694448000001,-0.00013289
BNTUSDT,1694390400000,0.0001
BNTUSDT,1694419200000,1.819e-05
BNTUSDT,1694448000001,0.0001
RDNTUSDT,1694390400000,-0.00036056
RDNTUSDT,1694419200000,-0.00013458
RDNTUSDT,1694448000001,-0.00020783
ZRXUSDT,1694390400000,2.611e-05
ZRXUSDT,1694419200000,0.0001
ZRXUSDT,1694448000001,0.0001
HIGHUSDT,1694390400000,-2.929e-05
HIGHUSDT,1694419200000,-0.00017198
HIGHUSDT,1694448000001,3.487e-05
WAVESUSDT,1694390400000,-1.095e-05
WAVESUSDT,1694419200000,-2.328e-05
WAVESUSDT,1694448000001,-9.495e-05
SPELLUSDT,1694390400000,0.0001
SPELLUSDT,1694419200000,0.0001
SPELLUSDT,1694448000001,7.717e-05
BNBUSDT,1694390400000,0.0
BNBUSDT,1694419200000,0.0
BNBUSDT,1694448000001,0.0
XTZUSDT,1694390400000,-0.00032015
XTZUSDT,1694419200000,-0.00029495
XTZUSDT,1694448000001,-1.723e-05
DARUSDT,1694390400000,3.855e-05
DARUSDT,1694419200000,-5.323e-05
DARUSDT,1694448000001,3.993e-05
HNTUSDT,1694390400000,0.0001
HNTUSDT,1694419200000,0.0001
HNTUSDT,1694448000001,0.0001
JOEUSDT,1694390400000,2.498e-05
JOEUSDT,1694419200000,-0.0001826
JOEUSDT,1694448000001,9.489e-05
XMRUSDT,1694390400000,-3.802e-05
XMRUSDT,1694419200000,8.326e-05
XMRUSDT,1694448000001,9.692e-05
ETCUSDT,1694390400000,-4.254e-05
ETCUSDT,1694419200000,0.0001
ETCUSDT,1694448000001,1.405e-05
PENDLEUSDT,1694390400000,0.0001
PENDLEUSDT,1694419200000,4.615e-05
PENDLEUSDT,1694448000001,-9.088e-05
ALICEUSDT,1694390400000,0.0001
ALICEUSDT,1694419200000,4.405e-05
ALICEUSDT,1694448000001,0.0001
HOOKUSDT,1694390400000,0.0001
HOOKUSDT,1694419200000,-1.29e-06
HOOKUSDT,1694448000001,0.0001
REEFUSDT,1694390400000,6.578e-05
REEFUSDT,1694419200000,0.0001
REEFUSDT,1694448000001,0.0001
BATUSDT,1694390400000,0.0001
BATUSDT,1694419200000,0.0001
BATUSDT,1694448000001,0.0001
DOGEUSDT,1694390400000,-1.44e-06
DOGEUSDT,1694419200000,1.068e-05
DOGEUSDT,1694448000001,5.28e-06
TRXUSDT,1694390400000,8.565e-05
TRXUSDT,1694419200000,5.143e-05
TRXUSDT,1694448000001,6.701e-05
STORJUSDT,1694390400000,1.094e-05
STORJUSDT,1694419200000,-0.00057387
STORJUSDT,1694448000001,5.804e-05
SNXUSDT,1694390400000,-8.461e-05
SNXUSDT,1694419200000,-0.00018529
SNXUSDT,1694448000001,-0.00015758
XLMUSDT,1694390400000,-0.00012616
XLMUSDT,1694419200000,-0.00012917
XLMUSDT,1694448000001,-3.967e-05
IOTXUSDT,1694390400000,0.0001
IOTXUSDT,1694419200000,0.0001
IOTXUSDT,1694448000001,3.456e-05
DASHUSDT,1694390400000,-1.245e-05
DASHUSDT,1694419200000,1.44e-05
DASHUSDT,1694448000001,7.201e-05
UMAUSDT,1694390400000,0.0001
UMAUSDT,1694419200000,8.563e-05
UMAUSDT,1694448000001,0.0001
KAVAUSDT,1694390400000,0.0001
KAVAUSDT,1694419200000,0.0001
KAVAUSDT,1694448000001,0.0001
OXTUSDT,1694390400000,2.998e-05
OXTUSDT,1694419200000,-4.495e-05
OXTUSDT,1694448000001,-9.161e-05
RUNEUSDT,1694390400000,-0.00013017
RUNEUSDT,1694419200000,-0.00034952
RUNEUSDT,1694448000001,-1.63e-05
APEUSDT,1694390400000,-0.00017882
APEUSDT,1694419200000,-0.00018386
APEUSDT,1694448000001,-6.987e-05
BLUEBIRDUSDT,1694390400000,0.0001
BLUEBIRDUSDT,1694419200000,0.0001
BLUEBIRDUSDT,1694448000001,7.322e-05
BNXUSDT,1694390400000,0.0001
BNXUSDT,1694419200000,0.0001
BNXUSDT,1694448000001,0.0001
OPUSDT,1694390400000,4.056e-05
OPUSDT,1694419200000,4.601e-05
OPUSDT,1694448000001,2.9e-05
KEYUSDT,1694390400000,0.0001
KEYUSDT,1694419200000,7.861e-05
KEYUSDT,1694448000001,0.0001
DGBUSDT,1694390400000,4.919e-05
DGBUSDT,1694419200000,7.419e-05
DGBUSDT,1694448000001,8.83e-05
SKLUSDT,1694390400000,8.634e-05
SKLUSDT,1694419200000,8.268e-05
SKLUSDT,1694448000001,0.0001
FOOTBALLUSDT,1694390400000,0.0001
